,Marital_Status,Course,Attendance,Prev_Qua,Prev_Qua_Grade,Nationality,Mother_Qua,Father_Qua,Adm_Grade,Tui_Up_to_Date,Gender,S_Holder,Age_at_Enroll,Cur_U_1st_Sem_Credit,Cur_U_1st_Sem_Appr,Cur_U_1st_Sem_Grade,Cur_U_2nd_Sem_Credit,Cur_U_2nd_Sem_Approved,Cur_U_2nd_Sem_Grade,SAP
31,1,9070,1,1,125.0,1,42,3,130.0,1,1,0,20,2,6,12.833333333333334,0,4,13.4,0
32,1,9147,1,1,143.0,1,1,1,138.8,0,1,0,18,0,3,11.333333333333334,0,2,13.5,0
33,1,8014,0,1,138.0,1,19,1,134.5,1,0,0,19,0,6,12.666666666666666,0,6,14.375,0
34,1,9991,0,1,130.0,1,2,37,131.4,1,1,0,34,0,5,12.4,0,5,13.428571428571429,0
35,1,33,1,1,130.0,1,38,37,102.5,0,1,0,37,0,0,0.0,0,1,10.0,1
36,1,9119,1,10,133.1,1,34,37,128.8,1,1,0,43,0,0,0.0,0,0,0.0,1
37,1,9147,1,1,140.0,1,37,37,122.9,1,0,0,55,0,1,10.0,0,2,12.0,1
38,2,9991,0,1,120.0,1,19,19,113.9,1,0,0,39,0,5,11.0,0,5,11.6,0
39,1,9130,1,39,120.0,6,4,4,120.0,0,0,0,20,2,3,11.666666666666666,1,3,12.0,1
40,1,9773,1,1,126.0,1,3,3,121.1,1,0,0,18,0,4,12.75,0,0,0.0,1
41,1,9147,1,1,133.0,1,3,19,120.4,1,0,0,22,0,5,14.8,0,5,15.8,0
42,1,9500,1,1,103.0,1,1,3,100.6,1,0,0,22,0,5,13.928,0,7,14.342857142857142,0
43,1,9773,1,1,120.0,1,1,38,121.4,0,0,0,20,0,4,13.0,0,5,13.8,1
44,1,9991,0,1,133.1,1,37,37,109.7,1,0,0,29,0,0,0.0,0,0,0.0,1
45,1,9991,0,1,154.0,1,38,38,134.1,1,0,0,24,0,2,11.5,0,3,14.333333333333334,0
46,1,9238,1,1,130.0,1,19,19,127.6,1,0,0,18,0,6,11.666666666666666,0,5,13.2,0
47,1,9500,1,1,132.0,1,37,19,132.4,1,0,1,22,0,6,13.516666666666666,0,7,13.771428571428572,0
48,1,8014,0,39,130.0,1,1,19,133.4,1,0,1,21,3,6,11.5,2,6,13.285714285714286,0
49,1,9238,1,1,139.0,1,37,38,126.1,1,0,1,19,0,5,12.333333333333334,0,6,12.833333333333334,0
50,1,9254,1,1,130.0,1,19,38,113.5,1,0,1,24,0,6,13.666666666666666,0,6,14.166666666666666,0
51,1,9500,1,1,139.0,1,37,38,121.3,1,0,1,19,0,6,11.833333333333334,0,6,11.833333333333334,0
52,1,9773,1,1,127.0,1,1,19,121.8,1,0,1,20,0,4,14.0,0,3,11.0,0
53,1,9130,1,1,167.0,1,37,37,159.3,1,0,0,19,0,5,14.714285714285714,0,5,15.8,0
54,1,9991,0,1,130.0,1,38,38,120.0,1,0,0,27,0,5,10.6,0,5,11.0,1
55,1,9500,1,1,130.0,1,1,19,129.1,1,0,0,18,0,7,13.044444444444444,0,8,13.595,0
56,2,9254,1,3,130.0,1,1,3,130.0,1,0,0,39,0,0,0.0,0,0,0.0,1
57,1,9130,1,40,129.0,1,3,3,155.3,1,0,0,27,0,5,13.0,5,10,12.9,1
58,1,9500,1,1,141.0,1,38,38,139.8,1,0,0,18,0,8,14.935,0,8,14.935,0
59,1,171,1,1,125.0,1,38,37,115.2,1,0,0,18,0,0,0.0,0,0,0.0,0
60,1,9500,1,1,125.0,1,19,19,114.9,1,0,0,18,0,6,13.133333333333333,0,7,12.221428571428572,0
61,1,9238,1,39,130.0,1,19,1,131.9,1,0,1,21,3,6,12.0,2,6,12.0,0
62,1,171,1,1,133.0,1,1,37,126.0,1,1,1,19,0,0,0.0,0,0,0.0,0
63,1,9070,1,1,127.0,1,1,1,130.2,1,1,0,19,0,5,11.4,0,1,10.0,0
64,1,9070,1,1,116.0,1,1,1,120.9,1,1,0,24,0,0,0.0,0,0,0.0,0
65,2,9500,1,19,133.1,1,1,1,126.0,1,1,0,29,2,5,11.9,1,5,11.0,1
66,1,171,1,1,139.0,1,19,19,128.2,1,1,1,19,0,0,0.0,0,0,0.0,0
67,1,9003,1,39,130.0,1,19,37,130.0,1,1,0,23,0,6,12.571428571428571,0,6,12.428571428571429,0
68,1,9147,1,1,125.0,1,1,38,120.1,1,1,0,19,0,5,11.2,0,4,10.75,1
69,1,9254,1,1,160.0,1,19,37,100.0,1,1,0,26,0,6,12.0,0,5,10.8,0
70,1,9147,1,1,148.0,1,38,37,134.0,1,1,0,18,0,0,0.0,0,0,0.0,0
71,1,9500,1,1,150.0,1,37,19,130.8,1,1,0,24,0,7,11.975,0,8,13.75,0
72,1,171,1,1,141.0,1,19,19,135.8,1,1,0,19,0,0,0.0,0,0,0.0,1
73,1,9254,1,1,118.0,1,38,37,111.7,1,1,0,18,0,3,11.666666666666666,0,1,12.0,1
74,1,9773,1,1,142.0,1,38,38,132.9,1,1,0,18,0,6,12.333333333333334,0,3,12.333333333333334,0
75,1,9147,1,1,120.0,1,19,19,115.5,1,1,0,18,0,3,10.333333333333334,0,3,10.857142857142858,1
76,1,9254,1,1,106.0,1,19,37,106.0,1,1,1,21,0,4,10.5,0,1,11.0,1
77,1,9773,1,1,121.0,1,1,19,120.3,1,1,1,19,0,6,13.666666666666666,0,6,13.333333333333334,0
78,1,9500,1,1,150.0,1,38,37,130.8,1,1,1,22,0,7,14.842857142857142,0,8,15.055555555555555,0
79,2,8014,0,1,120.0,1,37,37,117.0,1,1,0,33,0,6,12.0,0,6,11.666666666666666,0
80,1,9853,1,1,114.0,1,19,19,110.2,1,1,0,20,0,5,12.2,0,5,12.2,1
81,1,9991,0,2,140.0,1,3,3,155.7,1,1,0,35,0,0,0.0,0,0,0.0,1
82,1,9003,1,4,160.0,1,3,3,180.4,1,1,0,24,6,6,12.166666666666666,7,10,13.3,1
83,1,9254,1,1,120.0,1,19,19,125.5,1,1,0,18,0,5,12.0,0,3,11.333333333333334,0
84,2,8014,0,1,130.0,1,37,37,110.0,1,0,0,33,0,6,11.0,0,5,11.0,0
85,1,9500,1,1,160.0,1,37,38,161.0,1,0,1,22,0,7,13.08,0,7,13.08,0
86,1,9670,1,1,120.0,1,1,19,100.0,1,0,1,25,0,4,10.5,0,5,11.6,0
87,1,9070,1,1,124.0,1,19,38,117.6,1,1,0,20,0,6,10.666666666666666,0,5,11.2,0
88,1,9147,1,1,143.0,1,38,37,128.7,1,1,0,23,0,4,14.0,0,5,13.8,0
89,1,9119,1,1,115.0,1,38,19,112.2,1,1,0,18,0,2,10.0,0,0,0.0,0
90,1,9500,1,1,133.1,1,1,1,100.8,1,1,0,24,0,0,0.0,0,0,0.0,1
91,1,9773,1,1,133.1,41,19,1,105.0,0,0,0,21,0,6,14.0,0,6,13.5,0
92,1,9130,1,1,133.1,41,1,1,100.0,1,0,0,26,0,2,12.0,0,0,0.0,1
93,2,9853,1,10,133.1,1,37,34,115.5,1,0,0,39,0,3,12.666666666666666,0,0,0.0,1
94,2,8014,0,1,133.1,1,37,19,114.0,1,0,0,44,2,8,11.875,0,6,12.333333333333334,0
95,1,9119,1,1,130.0,26,38,3,137.0,1,1,0,19,0,5,14.0,0,3,13.25,0
96,1,9773,1,1,135.0,1,37,1,124.9,1,0,0,18,0,6,13.666666666666666,0,6,13.333333333333334,0
97,1,9500,1,1,132.0,1,37,37,120.3,1,0,1,18,0,7,13.75,0,8,14.47777777777778,0
98,1,9085,1,1,135.0,1,1,2,134.3,1,0,0,19,0,5,14.2,0,5,13.8,0
99,1,9500,1,1,115.0,1,3,3,111.5,0,0,0,19,0,4,11.96,0,0,0.0,1
100,1,9085,1,42,130.0,1,38,38,128.8,1,0,0,21,7,8,12.875,4,5,13.4,1
101,1,171,1,1,133.1,1,1,1,110.0,1,0,0,20,0,0,0.0,0,0,0.0,0
102,2,8014,0,1,130.0,1,37,37,113.5,1,0,0,36,0,0,0.0,0,0,0.0,1
103,2,9003,1,12,133.1,1,37,37,160.0,1,0,0,43,13,18,14.63157894736842,10,13,14.23076923076923,0
104,1,9853,1,1,123.0,1,19,19,117.4,1,0,0,19,0,0,0.0,0,0,0.0,1
105,1,9070,1,1,130.0,1,3,1,122.2,1,0,0,20,4,10,13.0,5,11,12.272727272727272,0
106,1,9238,1,1,122.0,1,37,38,118.2,1,0,0,19,0,0,0.0,0,0,0.0,1
107,1,9085,1,1,113.0,1,1,1,106.7,1,0,0,20,0,4,14.2,0,4,13.25,1
108,1,9500,1,1,111.0,1,3,4,108.2,1,0,0,20,2,6,13.266666666666666,0,5,12.3,1
109,1,9853,1,1,133.1,1,19,1,107.0,1,0,0,20,0,6,11.666666666666666,0,3,13.0,0
110,1,9238,1,1,142.0,1,37,37,136.1,1,0,0,18,0,6,13.857142857142858,0,6,15.0,0
111,1,9147,1,1,123.0,1,1,38,115.3,1,0,1,18,0,3,13.0,0,3,11.0,0
112,1,9085,1,1,131.0,1,19,19,139.8,1,0,0,19,0,5,13.4,0,5,12.8,0
113,1,9773,1,1,158.0,1,1,38,157.0,1,0,0,18,0,6,12.666666666666666,0,6,12.571428571428571,0
114,1,9500,1,1,122.0,1,37,37,131.0,1,0,0,18,0,6,12.516666666666666,0,6,12.516666666666666,1
115,1,9500,1,1,130.0,1,38,38,100.0,1,0,0,20,0,6,11.616666666666667,0,7,13.0,0
116,1,9238,1,1,154.0,1,19,37,140.4,1,0,1,20,0,2,10.0,0,4,10.75,0
117,1,9147,1,1,120.0,1,19,19,113.4,1,0,0,20,0,3,10.333333333333334,0,3,10.666666666666666,0
118,1,9085,1,1,140.0,1,37,38,137.0,1,0,0,18,0,5,13.142857142857142,0,5,11.4,0
119,1,9147,1,1,127.0,1,2,19,121.8,1,0,0,18,0,5,12.6,0,5,14.0,0
120,1,9254,1,1,133.1,1,1,1,131.0,1,0,0,21,0,3,11.0,0,2,11.0,1
121,1,9147,1,1,120.0,1,19,19,118.6,1,0,0,19,0,5,10.8,0,4,11.25,0
122,1,171,1,1,137.0,1,3,19,122.3,1,0,0,19,0,0,0.0,0,0,0.0,1
123,1,9670,1,1,131.0,1,38,38,127.9,1,0,1,19,0,5,12.8,0,5,14.2,0
124,1,9085,1,1,130.0,1,19,38,121.3,1,0,0,19,0,6,14.166666666666666,0,6,12.2,0
125,1,9556,1,1,122.0,1,1,1,117.1,1,0,0,19,0,5,12.1,0,0,0.0,1
126,1,9085,1,39,160.0,1,37,37,160.0,1,0,0,20,1,6,14.166666666666666,1,5,13.77777777777778,0
127,1,9853,1,1,146.0,1,19,38,145.3,1,0,1,18,0,5,12.8,0,5,13.4,0
128,1,9238,1,1,131.0,1,1,39,122.6,1,0,0,18,0,6,13.0,0,6,13.666666666666666,0
129,1,9500,1,1,132.0,1,1,37,128.0,1,0,0,19,0,7,13.467142857142855,0,8,15.011111111111113,0
130,1,9500,1,1,138.0,1,19,19,124.9,1,0,1,18,0,7,13.2375,0,7,13.742857142857144,1
131,1,9070,1,1,130.0,1,37,37,123.7,1,0,0,18,0,6,12.333333333333334,0,6,13.0,0
132,1,9147,1,1,126.0,1,1,19,120.1,1,0,0,19,0,5,12.4,0,5,14.6,0
133,1,9500,1,1,148.0,1,1,19,131.7,1,0,0,19,0,5,14.0,0,0,0.0,1
134,1,9238,1,1,130.0,1,38,37,133.2,1,0,0,20,5,9,11.666666666666666,2,7,11.714285714285714,0
135,1,9670,1,1,117.0,1,1,38,109.3,0,0,1,19,0,5,12.0,0,4,12.5,1
136,1,9670,1,1,120.0,1,19,19,113.0,1,0,0,20,0,4,12.2,0,4,11.5,0
137,1,9773,1,1,153.0,1,1,1,157.9,1,0,1,18,0,6,14.833333333333334,0,6,14.833333333333334,0
138,1,9500,1,1,117.0,1,19,1,112.1,1,0,1,20,0,5,13.188,0,7,12.892857142857142,0
139,1,9500,1,1,178.0,1,19,1,174.7,1,0,0,18,0,7,17.125,0,8,17.5875,0
140,1,9500,1,1,129.0,1,37,37,128.8,1,0,0,19,0,6,12.666666666666666,0,6,12.666666666666666,0
141,1,9773,1,1,116.0,1,19,1,110.1,1,0,1,19,0,6,12.666666666666666,0,5,12.0,0
142,1,9147,1,1,99.0,1,3,1,99.7,0,0,0,22,0,0,0.0,0,0,0.0,0
143,1,9238,1,1,135.0,1,1,12,121.0,1,0,1,19,0,6,11.333333333333334,0,6,11.5,0
144,1,9500,1,1,141.0,1,19,19,131.7,1,0,1,19,0,7,13.605,0,8,12.33125,0
145,1,9853,1,1,132.0,1,37,38,119.1,1,0,1,19,0,5,12.0,0,5,10.8,0
146,1,9254,1,1,132.0,1,12,19,124.7,1,0,0,19,0,0,0.0,0,0,0.0,1
147,1,9254,1,1,113.0,1,1,37,117.2,1,0,0,20,0,5,11.2,0,3,11.666666666666666,1
148,1,9147,1,1,134.0,1,3,19,128.8,1,0,0,18,0,5,13.375,0,5,14.166666666666666,0
149,1,9500,1,1,136.0,1,1,19,131.5,1,0,1,20,0,6,13.863333333333337,0,7,14.178571428571429,0
150,1,171,1,1,136.0,1,3,37,121.7,1,0,0,18,0,0,0.0,0,0,0.0,0
151,1,9085,1,1,129.0,1,1,38,123.4,1,0,0,19,0,5,12.4,0,5,13.4,0
152,1,9853,1,1,138.0,1,38,38,124.7,1,0,0,18,0,3,12.333333333333334,0,5,10.833333333333334,0
153,1,9853,1,1,137.0,1,37,37,132.8,1,0,0,18,0,6,13.333333333333334,0,5,11.8,0
154,1,9853,1,1,115.0,1,3,37,108.7,1,0,0,21,0,3,12.666666666666666,0,3,10.0,1
155,1,9853,1,1,129.0,1,38,37,138.1,1,0,0,19,0,6,12.0,0,4,11.5,1
156,1,9147,1,1,131.0,1,38,38,126.5,1,0,1,18,0,5,10.6,0,5,11.8,0
157,1,9238,1,1,133.0,1,1,37,127.4,1,0,1,18,0,6,12.25,0,6,11.857142857142858,0
158,1,9238,1,1,125.0,1,19,1,123.6,1,0,0,20,0,4,11.0,0,6,11.833333333333334,0
159,1,8014,0,1,120.0,1,1,19,122.0,1,0,1,24,0,5,11.0,0,5,12.6,0
160,1,9670,1,1,128.0,1,19,1,118.2,1,0,0,19,0,6,13.166666666666666,0,6,13.0,1
161,1,9500,1,1,127.0,1,19,37,123.9,1,0,1,18,0,7,12.855555555555554,0,7,12.761111111111113,0
162,1,9500,1,1,134.0,1,19,19,125.8,1,0,0,18,0,7,14.91875,0,8,15.355,0
163,1,9853,1,1,132.0,1,12,12,123.3,1,0,0,21,0,4,11.5,0,3,11.0,1
164,1,9670,1,1,124.0,1,1,19,124.4,1,0,0,19,0,5,14.2,0,5,14.2,0
165,1,9773,1,1,133.1,1,19,37,126.0,1,0,1,19,0,6,12.5,0,6,13.0,0
166,2,9003,1,1,170.0,1,1,37,170.0,1,0,0,47,0,0,0.0,0,0,0.0,0
167,1,9238,1,1,125.0,1,19,19,121.5,1,0,0,19,0,5,11.666666666666666,0,4,11.0,0
168,1,9500,1,3,130.0,1,2,2,130.0,1,0,0,29,1,7,14.257142857142856,1,7,14.257142857142856,0
169,1,9238,1,1,125.0,1,19,19,117.0,1,0,0,21,0,3,12.0,0,2,11.333333333333334,1
170,1,9085,1,1,130.0,1,37,19,130.0,1,0,0,28,0,4,11.25,0,4,10.5,0
171,1,9556,1,1,133.1,1,37,37,108.0,1,0,0,20,0,7,12.457142857142856,0,8,13.5625,0
172,1,9500,1,1,131.0,1,2,38,132.3,1,0,0,19,0,6,11.683333333333332,0,6,11.683333333333332,0
173,1,8014,0,1,150.0,1,19,2,148.0,1,0,0,26,0,3,11.666666666666666,0,5,12.0,0
174,1,9254,1,1,125.0,1,37,37,122.6,0,0,0,20,0,4,11.75,0,6,13.166666666666666,1
175,1,9670,1,1,131.0,1,37,37,123.0,1,0,1,18,0,3,11.666666666666666,0,4,13.5,0
176,1,9853,1,1,130.0,1,37,19,102.5,1,0,0,27,0,5,13.2,0,5,12.0,0
177,1,9500,1,1,123.0,1,34,34,113.3,1,0,0,20,0,4,11.95,0,4,11.95,1
178,1,9853,1,1,141.0,1,37,19,133.0,1,0,0,18,0,5,12.4,0,5,10.4,1
179,1,9500,1,3,140.0,1,1,1,140.0,1,0,0,33,2,6,14.35,3,6,14.583333333333334,1
180,1,9853,1,1,140.0,1,3,1,128.3,1,0,0,35,19,21,12.61904761904762,13,19,12.789473684210526,0
181,1,9991,0,39,140.0,1,37,19,140.0,1,0,1,26,2,6,12.666666666666666,2,6,13.166666666666666,0
182,1,9773,1,19,133.1,1,19,19,104.0,0,0,0,27,0,5,12.0,0,0,0.0,1
183,1,9070,1,1,131.0,1,1,37,122.3,0,0,0,19,0,6,12.166666666666666,0,0,0.0,1
184,1,9254,1,1,143.0,1,1,19,135.0,1,0,0,20,0,0,0.0,0,0,0.0,1
185,1,9147,1,1,132.0,1,3,3,119.1,0,0,0,20,0,3,10.0,0,3,10.571428571428571,1
186,1,9238,1,1,143.0,1,1,37,126.6,0,0,0,21,5,8,11.5,0,4,10.0,0
187,1,9500,1,1,141.0,1,38,1,129.0,1,0,1,18,0,6,13.05,0,6,13.05,0
188,1,9085,1,1,133.1,1,1,19,162.3,1,0,0,24,0,2,11.0,0,0,0.0,1
189,1,9070,1,1,148.0,1,1,3,163.4,1,0,0,20,0,6,11.5,0,6,12.0,0
190,1,9254,1,1,125.0,1,19,38,121.5,1,0,1,21,0,6,12.0,0,6,12.5,0
191,1,8014,0,1,120.0,1,1,37,122.8,1,0,0,23,0,2,10.0,0,1,10.0,0
192,1,9147,1,1,140.0,1,12,3,118.0,1,0,0,24,0,0,0.0,0,0,0.0,1
193,1,9853,1,1,139.0,1,1,1,134.0,1,0,0,21,0,0,0.0,0,0,0.0,1
194,1,9500,1,1,142.0,1,38,38,129.8,1,0,0,18,0,7,12.242857142857144,0,7,12.242857142857144,0
195,1,9991,0,40,130.0,1,19,1,152.0,1,0,0,27,0,0,0.0,0,0,0.0,1
196,1,9500,1,1,126.0,1,37,37,122.8,1,0,0,18,0,8,12.93375,0,8,12.93375,0
197,1,9119,1,3,150.0,1,3,2,150.0,1,0,0,35,0,0,0.0,0,0,0.0,1
198,1,9853,1,1,130.0,1,19,19,131.8,1,0,0,18,0,7,12.571428571428571,0,7,14.428571428571429,0
199,1,9500,1,1,120.0,1,1,3,105.9,1,0,0,35,0,3,11.816666666666668,0,3,11.333333333333334,0
200,1,9085,1,1,138.0,1,1,1,132.1,1,0,0,19,0,4,13.75,0,4,14.333333333333334,0
201,1,9238,1,1,127.0,1,19,19,127.4,1,0,0,20,0,6,11.166666666666666,0,6,11.333333333333334,0
202,1,9500,1,1,140.0,1,19,19,129.5,1,0,0,18,0,7,12.324285714285711,0,7,12.324285714285711,0
203,1,9238,1,39,130.0,1,38,38,126.7,1,0,0,21,3,6,12.166666666666666,2,6,11.714285714285714,0
204,1,9238,1,1,128.0,1,19,37,116.5,1,0,1,18,0,5,11.142857142857142,0,4,11.25,0
205,1,9238,1,1,132.0,1,34,34,119.1,1,0,0,18,0,4,11.0,0,4,10.75,0
206,1,9500,1,1,149.0,1,19,38,126.5,1,0,0,18,0,7,12.914285714285713,0,7,12.914285714285713,0
207,1,9773,1,1,155.0,1,3,19,149.8,1,0,1,18,0,6,13.833333333333334,0,6,14.166666666666666,0
208,1,9085,1,1,120.0,1,19,1,115.1,1,0,0,19,0,6,13.857142857142858,0,5,13.4,0
209,1,9254,1,19,133.1,1,3,19,124.5,1,0,1,36,0,6,13.714285714285714,0,5,12.8,1
210,1,9500,1,1,131.0,1,38,1,128.3,1,0,1,18,0,7,12.642857142857142,0,7,12.642857142857142,0
211,1,9500,1,1,149.0,1,37,37,136.0,1,0,1,18,0,6,12.916666666666666,0,6,12.916666666666666,0
212,1,9130,1,1,140.0,1,1,3,140.0,1,0,1,20,0,6,15.625,0,6,15.857142857142858,0
213,1,9991,0,1,133.1,1,37,37,126.3,1,0,1,26,0,0,0.0,0,0,0.0,1
214,1,9773,1,1,122.0,1,1,1,126.9,1,0,0,21,0,6,11.714285714285714,0,6,12.0,0
215,1,9556,1,40,130.0,1,1,1,145.0,1,0,0,25,0,6,12.125,0,8,13.3125,0
216,1,9147,1,1,121.0,1,19,3,115.8,1,0,1,19,0,5,11.6,0,5,11.6,0
217,1,8014,0,1,120.0,1,19,37,100.0,1,0,0,24,0,1,10.0,0,0,0.0,1
218,1,8014,0,1,133.1,1,1,19,102.5,1,0,1,27,0,1,10.0,0,0,0.0,1
219,1,9085,1,1,121.0,1,19,37,131.5,1,0,0,21,0,0,0.0,0,2,13.5,1
220,1,9147,1,1,133.0,1,38,38,147.0,1,0,1,18,0,4,13.0,0,3,12.333333333333334,0
221,2,9853,1,1,134.0,1,37,37,122.5,1,0,1,19,0,6,13.333333333333334,0,6,14.5,0
222,1,9254,1,1,115.0,1,1,1,117.5,1,0,0,18,0,4,11.25,0,2,12.5,1
223,1,9500,1,1,127.0,1,19,1,150.0,1,0,1,19,0,5,13.85,0,7,12.19285714285714,0
224,1,9500,1,1,135.0,1,1,38,127.5,1,0,1,19,0,6,13.741666666666667,0,7,14.9125,0
225,2,9991,0,43,140.0,1,40,5,140.0,1,0,0,33,2,6,15.333333333333334,0,5,15.8,0
226,2,9147,1,3,130.0,1,1,4,130.0,1,0,0,45,0,5,11.0,0,5,13.8,0
227,1,9238,1,1,135.0,1,1,1,133.3,1,0,1,20,0,6,12.0,0,6,12.857142857142858,0
228,1,9670,1,1,140.0,1,34,34,97.0,1,0,0,28,0,0,0.0,0,0,0.0,1
229,1,9500,1,1,120.0,1,1,1,112.0,1,0,1,19,0,7,11.571428571428571,0,7,11.571428571428571,0
230,1,9254,1,1,140.0,1,1,37,123.6,1,0,0,18,0,6,12.857142857142858,0,3,12.666666666666666,0
231,1,9254,1,3,133.1,1,19,19,130.5,1,0,0,38,0,0,0.0,0,0,0.0,1
232,1,9670,1,1,135.0,1,1,3,133.3,1,0,0,19,0,5,13.0,0,5,13.2,0
233,1,9254,1,1,123.0,1,1,37,132.1,1,0,1,21,0,5,11.0,0,5,12.0,0
234,1,9147,1,1,133.1,1,37,1,100.0,1,0,0,21,0,3,12.0,0,1,15.0,1
235,1,9238,1,1,154.0,1,38,37,140.4,1,0,1,22,0,5,12.6,0,6,13.0,0
236,1,9853,1,1,148.0,1,19,19,141.7,1,0,1,18,0,5,13.4,0,6,13.166666666666666,0
237,1,9238,1,1,133.0,1,37,37,119.7,1,0,1,18,0,6,11.333333333333334,0,6,11.571428571428571,0
238,1,9130,1,1,126.0,1,19,1,122.5,0,0,0,25,0,4,13.5,0,4,14.25,1
239,1,9085,1,19,133.1,1,19,19,140.0,0,0,0,24,2,3,11.75,1,3,10.333333333333334,1
240,1,9500,1,1,125.0,1,3,1,119.4,1,0,0,19,0,6,12.471428571428572,0,7,11.4625,0
241,1,171,1,1,145.0,1,3,3,155.0,1,0,0,24,11,11,12.909090909090908,9,9,13.555555555555555,0
242,1,9147,1,1,118.0,1,37,19,119.1,1,0,1,20,0,5,11.6,0,5,13.6,0
243,1,9147,1,1,120.0,1,37,1,122.7,0,0,0,25,0,0,0.0,0,0,0.0,1
244,1,9147,1,1,127.0,1,38,19,117.9,1,0,1,20,5,9,12.9,4,10,12.363636363636363,0
245,1,9500,1,3,130.0,1,19,38,130.0,1,0,0,23,0,8,13.22,0,8,13.22,0
246,1,9500,1,1,129.0,1,19,37,120.0,1,0,1,19,0,7,13.151428571428571,0,7,13.151428571428571,0
247,1,9003,1,39,130.0,1,37,37,130.0,0,0,0,29,0,3,12.75,0,3,11.333333333333334,1
248,1,9254,1,1,121.0,1,19,37,116.8,1,0,0,21,0,6,11.333333333333334,0,4,12.25,0
249,1,9670,1,1,136.0,1,19,1,123.4,1,0,1,18,0,6,13.25,0,5,14.142857142857142,0
250,1,9070,1,1,125.0,1,19,38,125.4,1,0,0,19,0,5,12.4,0,5,12.4,0
251,1,9773,1,1,131.0,1,38,37,127.2,1,0,1,18,0,6,15.0,0,6,12.833333333333334,1
