Marital_Status,Course,Attendance,Prev_Qua,Prev_Qua_Grade,Region,Mother_Qua,Father_Qua,Adm_Grade,Tui_Up_to_Date,Gender,S_Holder,Age_at_Enroll,Cur_U_1st_Sem_Credit,Cur_U_1st_Sem_Grade,Cur_U_2nd_Sem_Credit,Cur_U_2nd_Sem_Grade,SAP
unmarried,biology,present,Diploma,137.0,south west,SSCE,BSC,136.3,yes,female,no,20,0,12.5,0,12.25,graduate
unmarried,business,present,Diploma,140.0,south west,BSC,BSC,124.6,yes,female,no,18,0,11.666666666666666,0,13.5,graduate
unmarried,chemistry,present,Diploma,122.0,south west,SSCE,SSCE,120.3,yes,female,yes,21,0,0.0,0,0.0,graduate
unmarried,philosophy,present,Diploma,127.0,south west,SSCE,others,121.8,yes,female,no,20,0,11.4375,0,11.425,graduate
unmarried,management,present,Diploma,142.0,south west,BSC,BSC,125.5,yes,female,no,18,0,12.857142857142858,0,12.857142857142858,graduate
unmarried,agronomy,present,Diploma,125.0,south west,SSCE,others,114.9,yes,female,yes,19,0,13.375,0,12.285714285714286,graduate
unmarried,management,present,Diploma,126.0,south west,BSC,BSC,123.9,yes,female,no,19,0,13.296666666666669,0,14.114285714285714,graduate
unmarried,information technology,present,Diploma,151.0,south west,BSC,others,157.0,yes,female,yes,18,0,11.6,0,11.0,graduate
unmarried,information technology,present,Diploma,115.0,south west,BSC,others,116.4,yes,female,no,21,0,11.375,0,13.285714285714286,graduate
unmarried,economics,present,Diploma,138.0,south west,BSC,BSC,131.0,yes,female,no,18,0,12.666666666666666,0,13.0,graduate
unmarried,social service,present,Diploma,135.0,south west,BSC,SSCE,122.1,yes,female,no,20,0,12.0,0,12.333333333333334,graduate
unmarried,management,present,Diploma,127.0,south west,SSCE,SSCE,118.8,yes,male,no,19,0,12.933333333333332,0,13.716666666666669,graduate
unmarried,law,present,OND,150.0,south west,SSCE,SSCE,150.0,yes,male,no,21,0,11.857142857142858,0,10.571428571428571,graduate
unmarried,nursing,present,Diploma,125.0,south west,others,SSCE,130.0,yes,male,no,20,2,12.833333333333334,0,13.4,graduate
unmarried,social service,present,Diploma,143.0,south west,SSCE,SSCE,138.8,no,male,no,18,0,11.333333333333334,0,13.5,graduate
unmarried,journalism,absent,Diploma,138.0,south west,BSC,SSCE,134.5,yes,female,no,19,0,12.666666666666666,0,14.375,graduate
unmarried,design,absent,Diploma,130.0,south west,SSCE,others,131.4,yes,male,no,34,0,12.4,0,13.428571428571429,graduate
unmarried,mechanical engineering,present,Diploma,130.0,south west,others,others,102.5,no,male,no,37,0,0.0,0,10.0,droupout
unmarried,finance,present,Diploma,133.1,south west,PHD,others,128.8,yes,male,no,43,0,0.0,0,0.0,droupout
unmarried,social service,present,Diploma,140.0,south west,others,others,122.9,yes,female,no,55,0,10.0,0,12.0,droupout
married,design,absent,Diploma,120.0,south west,BSC,BSC,113.9,yes,female,no,39,0,11.0,0,11.6,graduate
unmarried,biology,present,OND,120.0,south west,SSCE,SSCE,120.0,no,female,no,20,2,11.666666666666666,1,12.0,droupout
unmarried,accounting,present,Diploma,126.0,south west,SSCE,SSCE,121.1,yes,female,no,18,0,12.75,0,0.0,droupout
unmarried,social service,present,Diploma,133.0,south west,SSCE,BSC,120.4,yes,female,no,22,0,14.8,0,15.8,graduate
unmarried,management,present,Diploma,103.0,south west,SSCE,SSCE,100.6,yes,female,no,22,0,13.928,0,14.342857142857142,graduate
unmarried,accounting,present,Diploma,120.0,south west,SSCE,others,121.4,no,female,no,20,0,13.0,0,13.8,droupout
unmarried,design,absent,Diploma,133.1,south west,others,others,109.7,yes,female,no,29,0,0.0,0,0.0,droupout
unmarried,design,absent,Diploma,154.0,south west,others,others,134.1,yes,female,no,24,0,11.5,0,14.333333333333334,graduate
unmarried,information technology,present,Diploma,130.0,south west,BSC,BSC,127.6,yes,female,no,18,0,11.666666666666666,0,13.2,graduate
unmarried,management,present,Diploma,132.0,south west,others,BSC,132.4,yes,female,yes,22,0,13.516666666666666,0,13.771428571428572,graduate
unmarried,journalism,absent,OND,130.0,south west,SSCE,BSC,133.4,yes,female,yes,21,3,11.5,2,13.285714285714286,graduate
unmarried,information technology,present,Diploma,139.0,south west,others,others,126.1,yes,female,yes,19,0,12.333333333333334,0,12.833333333333334,graduate
unmarried,education,present,Diploma,130.0,south west,BSC,others,113.5,yes,female,yes,24,0,13.666666666666666,0,14.166666666666666,graduate
unmarried,management,present,Diploma,139.0,south west,others,others,121.3,yes,female,yes,19,0,11.833333333333334,0,11.833333333333334,graduate
unmarried,accounting,present,Diploma,127.0,south west,SSCE,BSC,121.8,yes,female,yes,20,0,14.0,0,11.0,graduate
unmarried,biology,present,Diploma,167.0,south west,others,others,159.3,yes,female,no,19,0,14.714285714285714,0,15.8,graduate
unmarried,design,absent,Diploma,130.0,south west,others,others,120.0,yes,female,no,27,0,10.6,0,11.0,droupout
unmarried,management,present,Diploma,130.0,south west,SSCE,BSC,129.1,yes,female,no,18,0,13.044444444444444,0,13.595,graduate
married,education,present,Diploma,130.0,south west,SSCE,SSCE,130.0,yes,female,no,39,0,0.0,0,0.0,droupout
unmarried,biology,present,OND,129.0,south west,SSCE,SSCE,155.3,yes,female,no,27,0,13.0,5,12.9,droupout
unmarried,management,present,Diploma,141.0,south west,others,others,139.8,yes,female,no,18,0,14.935,0,14.935,graduate
unmarried,chemistry,present,Diploma,125.0,south west,others,others,115.2,yes,female,no,18,0,0.0,0,0.0,graduate
unmarried,management,present,Diploma,125.0,south west,BSC,BSC,114.9,yes,female,no,18,0,13.133333333333333,0,12.221428571428572,graduate
unmarried,information technology,present,OND,130.0,south west,BSC,SSCE,131.9,yes,female,yes,21,3,12.0,2,12.0,graduate
unmarried,chemistry,present,Diploma,133.0,south west,SSCE,others,126.0,yes,male,yes,19,0,0.0,0,0.0,graduate
unmarried,nursing,present,Diploma,127.0,south west,SSCE,SSCE,130.2,yes,male,no,19,0,11.4,0,10.0,graduate
unmarried,nursing,present,Diploma,116.0,south west,SSCE,SSCE,120.9,yes,male,no,24,0,0.0,0,0.0,graduate
married,management,present,HND,133.1,south west,SSCE,SSCE,126.0,yes,male,no,29,2,11.9,1,11.0,droupout
unmarried,chemistry,present,Diploma,139.0,south west,BSC,BSC,128.2,yes,male,yes,19,0,0.0,0,0.0,graduate
unmarried,law,present,OND,130.0,south west,BSC,others,130.0,yes,male,no,23,0,12.571428571428571,0,12.428571428571429,graduate
unmarried,social service,present,Diploma,125.0,south west,SSCE,others,120.1,yes,male,no,19,0,11.2,0,10.75,droupout
unmarried,education,present,Diploma,160.0,south west,BSC,others,100.0,yes,male,no,26,0,12.0,0,10.8,graduate
unmarried,social service,present,Diploma,148.0,south west,others,others,134.0,yes,male,no,18,0,0.0,0,0.0,graduate
unmarried,management,present,Diploma,150.0,south west,others,BSC,130.8,yes,male,no,24,0,11.975,0,13.75,graduate
unmarried,chemistry,present,Diploma,141.0,south west,BSC,BSC,135.8,yes,male,no,19,0,0.0,0,0.0,droupout
unmarried,education,present,Diploma,118.0,south west,others,others,111.7,yes,male,no,18,0,11.666666666666666,0,12.0,droupout
unmarried,accounting,present,Diploma,142.0,south west,others,others,132.9,yes,male,no,18,0,12.333333333333334,0,12.333333333333334,graduate
unmarried,social service,present,Diploma,120.0,south west,BSC,BSC,115.5,yes,male,no,18,0,10.333333333333334,0,10.857142857142858,droupout
unmarried,education,present,Diploma,106.0,south west,BSC,others,106.0,yes,male,yes,21,0,10.5,0,11.0,droupout
unmarried,accounting,present,Diploma,121.0,south west,SSCE,BSC,120.3,yes,male,yes,19,0,13.666666666666666,0,13.333333333333334,graduate
unmarried,management,present,Diploma,150.0,south west,others,others,130.8,yes,male,yes,22,0,14.842857142857142,0,15.055555555555555,graduate
married,journalism,absent,Diploma,120.0,south west,others,others,117.0,yes,male,no,33,0,12.0,0,11.666666666666666,graduate
unmarried,business,present,Diploma,114.0,south west,BSC,BSC,110.2,yes,male,no,20,0,12.2,0,12.2,droupout
unmarried,design,absent,Diploma,140.0,south west,SSCE,SSCE,155.7,yes,male,no,35,0,0.0,0,0.0,droupout
unmarried,law,present,Diploma,160.0,south west,SSCE,SSCE,180.4,yes,male,no,24,6,12.166666666666666,7,13.3,droupout
unmarried,education,present,Diploma,120.0,south west,BSC,BSC,125.5,yes,male,no,18,0,12.0,0,11.333333333333334,graduate
married,journalism,absent,Diploma,130.0,south west,others,others,110.0,yes,female,no,33,0,11.0,0,11.0,graduate
unmarried,management,present,Diploma,160.0,south west,others,others,161.0,yes,female,yes,22,0,13.08,0,13.08,graduate
unmarried,agronomy,present,Diploma,120.0,south west,SSCE,BSC,100.0,yes,female,yes,25,0,10.5,0,11.6,graduate
unmarried,nursing,present,Diploma,124.0,south west,BSC,others,117.6,yes,male,no,20,0,10.666666666666666,0,11.2,graduate
unmarried,social service,present,Diploma,143.0,south west,others,others,128.7,yes,male,no,23,0,14.0,0,13.8,graduate
unmarried,finance,present,Diploma,115.0,south west,others,BSC,112.2,yes,male,no,18,0,10.0,0,0.0,graduate
unmarried,management,present,Diploma,133.1,south west,SSCE,SSCE,100.8,yes,male,no,24,0,0.0,0,0.0,droupout
unmarried,accounting,present,Diploma,133.1,south south,BSC,SSCE,105.0,no,female,no,21,0,14.0,0,13.5,graduate
unmarried,biology,present,Diploma,133.1,south south,SSCE,SSCE,100.0,yes,female,no,26,0,12.0,0,0.0,droupout
married,business,present,Diploma,133.1,south west,others,PHD,115.5,yes,female,no,39,0,12.666666666666666,0,0.0,droupout
married,journalism,absent,Diploma,133.1,south west,others,BSC,114.0,yes,female,no,44,2,11.875,0,12.333333333333334,graduate
unmarried,finance,present,Diploma,130.0,south east,others,SSCE,137.0,yes,male,no,19,0,14.0,0,13.25,graduate
unmarried,accounting,present,Diploma,135.0,south west,others,SSCE,124.9,yes,female,no,18,0,13.666666666666666,0,13.333333333333334,graduate
unmarried,management,present,Diploma,132.0,south west,others,others,120.3,yes,female,yes,18,0,13.75,0,14.47777777777778,graduate
unmarried,economics,present,Diploma,135.0,south west,SSCE,SSCE,134.3,yes,female,no,19,0,14.2,0,13.8,graduate
unmarried,management,present,Diploma,115.0,south west,SSCE,SSCE,111.5,no,female,no,19,0,11.96,0,0.0,droupout
unmarried,economics,present,OND,130.0,south west,others,others,128.8,yes,female,no,21,7,12.875,4,13.4,droupout
unmarried,chemistry,present,Diploma,133.1,south west,SSCE,SSCE,110.0,yes,female,no,20,0,0.0,0,0.0,graduate
married,journalism,absent,Diploma,130.0,south west,others,others,113.5,yes,female,no,36,0,0.0,0,0.0,droupout
married,law,present,Diploma,133.1,south west,others,others,160.0,yes,female,no,43,13,14.63157894736842,10,14.23076923076923,graduate
unmarried,business,present,Diploma,123.0,south west,BSC,BSC,117.4,yes,female,no,19,0,0.0,0,0.0,droupout
unmarried,nursing,present,Diploma,130.0,south west,SSCE,SSCE,122.2,yes,female,no,20,4,13.0,5,12.272727272727272,graduate
unmarried,information technology,present,Diploma,122.0,south west,others,others,118.2,yes,female,no,19,0,0.0,0,0.0,droupout
unmarried,economics,present,Diploma,113.0,south west,SSCE,SSCE,106.7,yes,female,no,20,0,14.2,0,13.25,droupout
unmarried,management,present,Diploma,111.0,south west,SSCE,SSCE,108.2,yes,female,no,20,2,13.266666666666666,0,12.3,droupout
unmarried,business,present,Diploma,133.1,south west,BSC,SSCE,107.0,yes,female,no,20,0,11.666666666666666,0,13.0,graduate
unmarried,information technology,present,Diploma,142.0,south west,others,others,136.1,yes,female,no,18,0,13.857142857142858,0,15.0,graduate
unmarried,social service,present,Diploma,123.0,south west,SSCE,others,115.3,yes,female,yes,18,0,13.0,0,11.0,graduate
unmarried,economics,present,Diploma,131.0,south west,BSC,BSC,139.8,yes,female,no,19,0,13.4,0,12.8,graduate
unmarried,accounting,present,Diploma,158.0,south west,SSCE,others,157.0,yes,female,no,18,0,12.666666666666666,0,12.571428571428571,graduate
unmarried,management,present,Diploma,122.0,south west,others,others,131.0,yes,female,no,18,0,12.516666666666666,0,12.516666666666666,droupout
unmarried,management,present,Diploma,130.0,south west,others,others,100.0,yes,female,no,20,0,11.616666666666667,0,13.0,graduate
unmarried,information technology,present,Diploma,154.0,south west,BSC,others,140.4,yes,female,yes,20,0,10.0,0,10.75,graduate
unmarried,social service,present,Diploma,120.0,south west,BSC,BSC,113.4,yes,female,no,20,0,10.333333333333334,0,10.666666666666666,graduate
unmarried,economics,present,Diploma,140.0,south west,others,others,137.0,yes,female,no,18,0,13.142857142857142,0,11.4,graduate
unmarried,social service,present,Diploma,127.0,south west,SSCE,BSC,121.8,yes,female,no,18,0,12.6,0,14.0,graduate
unmarried,education,present,Diploma,133.1,south west,SSCE,SSCE,131.0,yes,female,no,21,0,11.0,0,11.0,droupout
unmarried,social service,present,Diploma,120.0,south west,BSC,BSC,118.6,yes,female,no,19,0,10.8,0,11.25,graduate
unmarried,chemistry,present,Diploma,137.0,south west,SSCE,BSC,122.3,yes,female,no,19,0,0.0,0,0.0,droupout
unmarried,agronomy,present,Diploma,131.0,south west,others,others,127.9,yes,female,yes,19,0,12.8,0,14.2,graduate
unmarried,economics,present,Diploma,130.0,south west,BSC,others,121.3,yes,female,no,19,0,14.166666666666666,0,12.2,graduate
unmarried,philosophy,present,Diploma,122.0,south west,SSCE,SSCE,117.1,yes,female,no,19,0,12.1,0,0.0,droupout
unmarried,economics,present,OND,160.0,south west,others,others,160.0,yes,female,no,20,1,14.166666666666666,1,13.77777777777778,graduate
unmarried,business,present,Diploma,146.0,south west,BSC,others,145.3,yes,female,yes,18,0,12.8,0,13.4,graduate
unmarried,information technology,present,Diploma,131.0,south west,SSCE,others,122.6,yes,female,no,18,0,13.0,0,13.666666666666666,graduate
unmarried,management,present,Diploma,132.0,south west,SSCE,others,128.0,yes,female,no,19,0,13.467142857142855,0,15.011111111111113,graduate
unmarried,management,present,Diploma,138.0,south west,BSC,BSC,124.9,yes,female,yes,18,0,13.2375,0,13.742857142857144,droupout
unmarried,nursing,present,Diploma,130.0,south west,others,others,123.7,yes,female,no,18,0,12.333333333333334,0,13.0,graduate
unmarried,social service,present,Diploma,126.0,south west,SSCE,BSC,120.1,yes,female,no,19,0,12.4,0,14.6,graduate
unmarried,management,present,Diploma,148.0,south west,SSCE,BSC,131.7,yes,female,no,19,0,14.0,0,0.0,droupout
unmarried,information technology,present,Diploma,130.0,south west,others,others,133.2,yes,female,no,20,5,11.666666666666666,2,11.714285714285714,graduate
unmarried,agronomy,present,Diploma,117.0,south west,SSCE,others,109.3,no,female,yes,19,0,12.0,0,12.5,droupout
unmarried,agronomy,present,Diploma,120.0,south west,BSC,BSC,113.0,yes,female,no,20,0,12.2,0,11.5,graduate
unmarried,accounting,present,Diploma,153.0,south west,SSCE,SSCE,157.9,yes,female,yes,18,0,14.833333333333334,0,14.833333333333334,graduate
unmarried,management,present,Diploma,117.0,south west,BSC,SSCE,112.1,yes,female,yes,20,0,13.188,0,12.892857142857142,graduate
unmarried,management,present,Diploma,178.0,south west,BSC,SSCE,174.7,yes,female,no,18,0,17.125,0,17.5875,graduate
unmarried,management,present,Diploma,129.0,south west,others,others,128.8,yes,female,no,19,0,12.666666666666666,0,12.666666666666666,graduate
unmarried,accounting,present,Diploma,116.0,south west,BSC,SSCE,110.1,yes,female,yes,19,0,12.666666666666666,0,12.0,graduate
unmarried,social service,present,Diploma,99.0,south west,SSCE,SSCE,99.7,no,female,no,22,0,0.0,0,0.0,graduate
unmarried,information technology,present,Diploma,135.0,south west,SSCE,HND,121.0,yes,female,yes,19,0,11.333333333333334,0,11.5,graduate
unmarried,management,present,Diploma,141.0,south west,BSC,BSC,131.7,yes,female,yes,19,0,13.605,0,12.33125,graduate
unmarried,business,present,Diploma,132.0,south west,others,others,119.1,yes,female,yes,19,0,12.0,0,10.8,graduate
unmarried,education,present,Diploma,132.0,south west,HND,BSC,124.7,yes,female,no,19,0,0.0,0,0.0,droupout
unmarried,education,present,Diploma,113.0,south west,SSCE,others,117.2,yes,female,no,20,0,11.2,0,11.666666666666666,droupout
unmarried,social service,present,Diploma,134.0,south west,SSCE,BSC,128.8,yes,female,no,18,0,13.375,0,14.166666666666666,graduate
unmarried,management,present,Diploma,136.0,south west,SSCE,BSC,131.5,yes,female,yes,20,0,13.863333333333337,0,14.178571428571429,graduate
unmarried,chemistry,present,Diploma,136.0,south west,SSCE,others,121.7,yes,female,no,18,0,0.0,0,0.0,graduate
unmarried,economics,present,Diploma,129.0,south west,SSCE,others,123.4,yes,female,no,19,0,12.4,0,13.4,graduate
unmarried,business,present,Diploma,138.0,south west,others,others,124.7,yes,female,no,18,0,12.333333333333334,0,10.833333333333334,graduate
unmarried,business,present,Diploma,137.0,south west,others,others,132.8,yes,female,no,18,0,13.333333333333334,0,11.8,graduate
unmarried,business,present,Diploma,115.0,south west,SSCE,others,108.7,yes,female,no,21,0,12.666666666666666,0,10.0,droupout
unmarried,business,present,Diploma,129.0,south west,others,others,138.1,yes,female,no,19,0,12.0,0,11.5,droupout
unmarried,social service,present,Diploma,131.0,south west,others,others,126.5,yes,female,yes,18,0,10.6,0,11.8,graduate
unmarried,information technology,present,Diploma,133.0,south west,SSCE,others,127.4,yes,female,yes,18,0,12.25,0,11.857142857142858,graduate
unmarried,information technology,present,Diploma,125.0,south west,BSC,SSCE,123.6,yes,female,no,20,0,11.0,0,11.833333333333334,graduate
unmarried,journalism,absent,Diploma,120.0,south west,SSCE,BSC,122.0,yes,female,yes,24,0,11.0,0,12.6,graduate
unmarried,agronomy,present,Diploma,128.0,south west,BSC,SSCE,118.2,yes,female,no,19,0,13.166666666666666,0,13.0,droupout
unmarried,management,present,Diploma,127.0,south west,BSC,others,123.9,yes,female,yes,18,0,12.855555555555554,0,12.761111111111113,graduate
unmarried,management,present,Diploma,134.0,south west,BSC,BSC,125.8,yes,female,no,18,0,14.91875,0,15.355,graduate
unmarried,business,present,Diploma,132.0,south west,HND,HND,123.3,yes,female,no,21,0,11.5,0,11.0,droupout
unmarried,agronomy,present,Diploma,124.0,south west,SSCE,BSC,124.4,yes,female,no,19,0,14.2,0,14.2,graduate
unmarried,accounting,present,Diploma,133.1,south west,BSC,others,126.0,yes,female,yes,19,0,12.5,0,13.0,graduate
married,law,present,Diploma,170.0,south west,SSCE,others,170.0,yes,female,no,47,0,0.0,0,0.0,graduate
unmarried,information technology,present,Diploma,125.0,south west,BSC,BSC,121.5,yes,female,no,19,0,11.666666666666666,0,11.0,graduate
unmarried,management,present,Diploma,130.0,south west,SSCE,SSCE,130.0,yes,female,no,29,1,14.257142857142856,1,14.257142857142856,graduate
unmarried,information technology,present,Diploma,125.0,south west,BSC,BSC,117.0,yes,female,no,21,0,12.0,0,11.333333333333334,droupout
unmarried,economics,present,Diploma,130.0,south west,others,BSC,130.0,yes,female,no,28,0,11.25,0,10.5,graduate
unmarried,philosophy,present,Diploma,133.1,south west,others,others,108.0,yes,female,no,20,0,12.457142857142856,0,13.5625,graduate
unmarried,management,present,Diploma,131.0,south west,SSCE,others,132.3,yes,female,no,19,0,11.683333333333332,0,11.683333333333332,graduate
unmarried,journalism,absent,Diploma,150.0,south west,BSC,SSCE,148.0,yes,female,no,26,0,11.666666666666666,0,12.0,graduate
unmarried,education,present,Diploma,125.0,south west,others,others,122.6,no,female,no,20,0,11.75,0,13.166666666666666,droupout
unmarried,agronomy,present,Diploma,131.0,south west,others,others,123.0,yes,female,yes,18,0,11.666666666666666,0,13.5,graduate
unmarried,business,present,Diploma,130.0,south west,others,BSC,102.5,yes,female,no,27,0,13.2,0,12.0,graduate
unmarried,management,present,Diploma,123.0,south west,PHD,PHD,113.3,yes,female,no,20,0,11.95,0,11.95,droupout
unmarried,business,present,Diploma,141.0,south west,others,BSC,133.0,yes,female,no,18,0,12.4,0,10.4,droupout
unmarried,management,present,Diploma,140.0,south west,SSCE,SSCE,140.0,yes,female,no,33,2,14.35,3,14.583333333333334,droupout
unmarried,business,present,Diploma,140.0,south west,SSCE,SSCE,128.3,yes,female,no,35,19,12.61904761904762,13,12.789473684210526,graduate
unmarried,design,absent,OND,140.0,south west,others,BSC,140.0,yes,female,yes,26,2,12.666666666666666,2,13.166666666666666,graduate
unmarried,accounting,present,HND,133.1,south west,BSC,BSC,104.0,no,female,no,27,0,12.0,0,0.0,droupout
unmarried,nursing,present,Diploma,131.0,south west,SSCE,others,122.3,no,female,no,19,0,12.166666666666666,0,0.0,droupout
unmarried,education,present,Diploma,143.0,south west,SSCE,BSC,135.0,yes,female,no,20,0,0.0,0,0.0,droupout
unmarried,social service,present,Diploma,132.0,south west,SSCE,SSCE,119.1,no,female,no,20,0,10.0,0,10.571428571428571,droupout
unmarried,information technology,present,Diploma,143.0,south west,SSCE,others,126.6,no,female,no,21,5,11.5,0,10.0,graduate
unmarried,management,present,Diploma,141.0,south west,others,SSCE,129.0,yes,female,yes,18,0,13.05,0,13.05,graduate
unmarried,economics,present,Diploma,133.1,south west,SSCE,BSC,162.3,yes,female,no,24,0,11.0,0,0.0,droupout
unmarried,nursing,present,Diploma,148.0,south west,SSCE,SSCE,163.4,yes,female,no,20,0,11.5,0,12.0,graduate
unmarried,education,present,Diploma,125.0,south west,BSC,others,121.5,yes,female,yes,21,0,12.0,0,12.5,graduate
unmarried,journalism,absent,Diploma,120.0,south west,SSCE,others,122.8,yes,female,no,23,0,10.0,0,10.0,graduate
unmarried,social service,present,Diploma,140.0,south west,HND,SSCE,118.0,yes,female,no,24,0,0.0,0,0.0,droupout
unmarried,business,present,Diploma,139.0,south west,SSCE,SSCE,134.0,yes,female,no,21,0,0.0,0,0.0,droupout
unmarried,management,present,Diploma,142.0,south west,others,others,129.8,yes,female,no,18,0,12.242857142857144,0,12.242857142857144,graduate
unmarried,design,absent,OND,130.0,south west,BSC,SSCE,152.0,yes,female,no,27,0,0.0,0,0.0,droupout
unmarried,management,present,Diploma,126.0,south west,others,others,122.8,yes,female,no,18,0,12.93375,0,12.93375,graduate
unmarried,finance,present,Diploma,150.0,south west,SSCE,SSCE,150.0,yes,female,no,35,0,0.0,0,0.0,droupout
unmarried,business,present,Diploma,130.0,south west,BSC,BSC,131.8,yes,female,no,18,0,12.571428571428571,0,14.428571428571429,graduate
unmarried,management,present,Diploma,120.0,south west,SSCE,SSCE,105.9,yes,female,no,35,0,11.816666666666668,0,11.333333333333334,graduate
unmarried,economics,present,Diploma,138.0,south west,SSCE,SSCE,132.1,yes,female,no,19,0,13.75,0,14.333333333333334,graduate
unmarried,information technology,present,Diploma,127.0,south west,BSC,BSC,127.4,yes,female,no,20,0,11.166666666666666,0,11.333333333333334,graduate
unmarried,management,present,Diploma,140.0,south west,BSC,BSC,129.5,yes,female,no,18,0,12.324285714285711,0,12.324285714285711,graduate
unmarried,information technology,present,OND,130.0,south west,others,others,126.7,yes,female,no,21,3,12.166666666666666,2,11.714285714285714,graduate
unmarried,information technology,present,Diploma,128.0,south west,BSC,others,116.5,yes,female,yes,18,0,11.142857142857142,0,11.25,graduate
unmarried,information technology,present,Diploma,132.0,south west,PHD,PHD,119.1,yes,female,no,18,0,11.0,0,10.75,graduate
unmarried,management,present,Diploma,149.0,south west,BSC,others,126.5,yes,female,no,18,0,12.914285714285713,0,12.914285714285713,graduate
unmarried,accounting,present,Diploma,155.0,south west,SSCE,BSC,149.8,yes,female,yes,18,0,13.833333333333334,0,14.166666666666666,graduate
unmarried,economics,present,Diploma,120.0,south west,BSC,SSCE,115.1,yes,female,no,19,0,13.857142857142858,0,13.4,graduate
unmarried,education,present,HND,133.1,south west,SSCE,BSC,124.5,yes,female,yes,36,0,13.714285714285714,0,12.8,droupout
unmarried,management,present,Diploma,131.0,south west,others,SSCE,128.3,yes,female,yes,18,0,12.642857142857142,0,12.642857142857142,graduate
unmarried,management,present,Diploma,149.0,south west,others,others,136.0,yes,female,yes,18,0,12.916666666666666,0,12.916666666666666,graduate
unmarried,biology,present,Diploma,140.0,south west,SSCE,SSCE,140.0,yes,female,yes,20,0,15.625,0,15.857142857142858,graduate
unmarried,design,absent,Diploma,133.1,south west,others,others,126.3,yes,female,yes,26,0,0.0,0,0.0,droupout
unmarried,accounting,present,Diploma,122.0,south west,SSCE,SSCE,126.9,yes,female,no,21,0,11.714285714285714,0,12.0,graduate
unmarried,philosophy,present,OND,130.0,south west,SSCE,SSCE,145.0,yes,female,no,25,0,12.125,0,13.3125,graduate
unmarried,social service,present,Diploma,121.0,south west,BSC,SSCE,115.8,yes,female,yes,19,0,11.6,0,11.6,graduate
unmarried,journalism,absent,Diploma,120.0,south west,BSC,others,100.0,yes,female,no,24,0,10.0,0,0.0,droupout
unmarried,journalism,absent,Diploma,133.1,south west,SSCE,BSC,102.5,yes,female,yes,27,0,10.0,0,0.0,droupout
unmarried,economics,present,Diploma,121.0,south west,BSC,others,131.5,yes,female,no,21,0,0.0,0,13.5,droupout
unmarried,social service,present,Diploma,133.0,south west,others,others,147.0,yes,female,yes,18,0,13.0,0,12.333333333333334,graduate
married,business,present,Diploma,134.0,south west,others,others,122.5,yes,female,yes,19,0,13.333333333333334,0,14.5,graduate
unmarried,education,present,Diploma,115.0,south west,SSCE,SSCE,117.5,yes,female,no,18,0,11.25,0,12.5,droupout
unmarried,management,present,Diploma,127.0,south west,BSC,SSCE,150.0,yes,female,yes,19,0,13.85,0,12.19285714285714,graduate
